10 5 cm -f.wav,10 9 cm -1.wav,5 8 cm -1.wav,6 2 cm -f DENOISE.wav,6 2 cm -f.wav,6 7 cm -f.wav,7 5 cm -1 DENOISE.wav,7 9 cm -f DENOISE.wav,8 7 cm -f DENOISE.wav,8 7 cm -f.wav,9 3 cm -1 DENOISE.wav,9 3 cm -1.wav,9 4 cm -f.wav,,10 5 cm -f.wav,10 9 cm -1.wav,5 8 cm -1.wav,6 2 cm -f DENOISE.wav,6 2 cm -f.wav,6 7 cm -f.wav,7 5 cm -1 DENOISE.wav,7 9 cm -f DENOISE.wav,8 7 cm -f DENOISE.wav,8 7 cm -f.wav,9 3 cm -1 DENOISE.wav,9 3 cm -1.wav,9 4 cm -f.wav
0.095625,0.081875,0.071541667,0.097458333,0.097458333,0.055041667,0.181041667,0.053375,0.155125,0.155125,0.171791667,0.171791667,0.047875,,,,,,,,,,,,,,
0.234458333,0.212708333,0.301208333,0.322375,0.322375,0.256125,0.352708333,0.239791667,0.341125,0.341125,0.358041667,0.358041667,0.345208333,,0.138833333,,,,,,,,,0.186,,,0.297333333
0.371708333,0.350875,0.533125,0.542375,0.542375,0.454625,0.539708333,0.428291667,0.519708333,0.519708333,0.537291667,0.537291667,0.493125,,0.13725,,,,,,,,,0.178583333,,,0.147916667
0.512541667,0.477375,0.758541667,0.767125,0.767125,0.653625,0.720875,0.616708333,0.701791667,0.701791667,0.687291667,0.687291667,0.643208333,,0.140833333,,,,,,,,,0.182083333,,,0.150083333
0.649541667,0.727875,0.984458333,0.998541667,0.998541667,0.852458333,0.904875,0.803458333,0.888458333,0.888458333,0.721875,0.721875,0.796291667,,0.137,,,,,,,,,0.186666667,,,0.153083333
0.788041667,0.990708333,1.210208333,1.208708333,1.208708333,1.051541667,1.085875,0.989791667,1.056958333,1.056958333,0.910375,0.910375,0.949708333,,0.1385,,,,,,,,,0.1685,,,0.153416667
0.926708333,1.121875,1.441541667,1.426208333,1.426208333,1.250625,1.268958333,1.179791667,1.239875,1.239875,0.991875,0.991875,1.100958333,,0.138666667,,,,,,,,,0.182916667,,,0.15125
1.064291667,1.246541667,1.673291667,1.659625,1.659625,1.449791667,1.454708333,1.367375,1.418625,1.418625,1.089458333,1.016125,1.253208333,,0.137583333,,,,,,,,,0.17875,,,0.15225
1.201208333,1.377375,1.909875,1.879958333,1.879958333,1.649041667,1.642458333,1.554875,1.602791667,1.602791667,1.143708333,1.089458333,1.404291667,,0.136916667,,,,,,,,,0.184166667,,,0.151083333
1.335208333,1.510541667,2.148458333,2.112208333,2.112208333,1.848125,1.833958333,1.744708333,1.788041667,1.788041667,1.275291667,1.143708333,1.554875,,0.134,,,,,,,,,0.18525,,,0.150583333
1.474291667,1.604041667,2.388875,2.329541667,2.329541667,2.047708333,2.029041667,1.933708333,1.975208333,1.975208333,1.462375,1.275291667,1.707375,,0.139083333,,,,,,,,,0.187166667,,,0.1525
1.614208333,1.773458333,2.626041667,2.559875,2.559875,2.247291667,2.220791667,2.121291667,2.155291667,2.155291667,1.651291667,1.462375,1.860291667,,0.139916667,,,,,,,,,0.180083333,,,0.152916667
1.750291667,1.886875,2.864791667,2.769541667,2.769541667,2.446791667,2.416791667,2.307208333,2.336541667,2.336541667,1.827541667,1.651291667,2.012958333,,0.136083333,,,,,,,,,0.18125,,,0.152666667
1.882875,2.016125,3.104708333,2.989125,2.989125,2.646708333,2.607708333,2.497375,2.523708333,2.523708333,2.014375,1.827541667,2.165125,,0.132583333,,,,,,,,,0.187166667,,,0.152166667
2.020458333,2.149875,3.342875,3.222625,3.222625,2.845625,2.868958333,2.685291667,2.694958333,2.694958333,2.194875,2.014375,2.318125,,0.137583333,,,,,,,,,0.17125,,,0.153
2.289875,2.275541667,3.581791667,3.447375,3.447375,3.044291667,3.093541667,2.872458333,2.874208333,2.874208333,2.380958333,2.194875,2.472208333,,0.269416667,,,,,,,,,0.17925,,,0.154083333
2.424541667,2.412375,3.820958333,3.681291667,3.681291667,3.244041667,3.264125,3.063291667,3.061041667,3.061041667,2.560208333,2.380958333,2.626375,,0.134666667,,,,,,,,,0.186833333,,,0.154166667
2.562041667,2.540625,4.060291667,3.898208333,3.898208333,3.443458333,3.446791667,3.249875,3.231458333,3.231458333,2.746125,2.560208333,2.780791667,,0.1375,,,,,,,,,0.170416667,,,0.154416667
2.700041667,2.666625,4.299375,4.128791667,4.128791667,3.643125,3.621375,3.436041667,3.410791667,3.410791667,2.933125,2.746125,2.935291667,,0.138,,,,,,,,,0.179333333,,,0.1545
2.831958333,2.796208333,4.538708333,4.341958333,4.341958333,3.842541667,3.798291667,3.626125,3.597458333,3.597458333,3.121625,2.933125,3.089291667,,0.131916667,,,,,,,,,0.186666667,,,0.154
2.970875,2.929458333,4.777958333,4.566375,4.566375,4.042125,3.972541667,3.815041667,3.768791667,3.768791667,3.298791667,3.121625,3.243041667,,0.138916667,,,,,,,,,0.171333333,,,0.15375
3.109291667,3.050541667,5.016875,4.800875,4.800875,4.241708333,4.148041667,4.002041667,3.948541667,3.948541667,3.485625,3.298791667,3.396625,,0.138416667,,,,,,,,,0.17975,,,0.153583333
3.240208333,3.182375,5.256375,5.026125,5.026125,4.440875,4.323708333,4.192875,4.135958333,4.135958333,3.662708333,3.485625,3.551291667,,0.130916667,,,,,,,,,0.187416667,,,0.154666667
3.376041667,3.319625,5.495458333,5.260791667,5.260791667,4.640125,4.500041667,4.378541667,4.317875,4.317875,3.704458333,3.662708333,3.706291667,,0.135833333,,,,,,,,,0.181916667,,,0.155
3.514041667,3.442375,5.734791667,5.483375,5.483375,4.839291667,4.676541667,4.563541667,4.503625,4.503625,3.850125,3.704458333,3.860208333,,0.138,,,,,,,,,0.18575,,,0.153916667
3.652125,3.575708333,5.974875,5.717125,5.717125,5.038541667,4.851875,4.753125,4.673375,4.673375,4.032291667,3.850125,4.013625,,0.138083333,,,,,,,,,0.16975,,,0.153416667
